Nombre,(Capacidad 1),(Capacidad 2),(Benevolencia 1),(Benevolencia 2),(Integridad 1),(Integridad 2),(Integridad 3)
Juan Felipe,4,4,5,5,5,4,4
Isabella,3,3,5,5,3,3,3
Margarita,4,4,5,4,4,4,4
Luis Eduardo,3,3,4,4,3,3,3
Guillermo,3,3,5,4,3,5,3
Andrés,4,4,5,5,5,3,5
Juan Manuel,4,3,5,4,3,3,3
Carlos,5,5,4,5,5,5,5
Alexander,5,5,3,2,4,4,4
Sebastian,4,4,5,4,4,4,4
Isabela,3,3,4,3,3,3,3
Isaac,2,2,3,1,2,2,2
Miguel,4,4,4,5,4,4,4
Daniel,2,2,5,2,2,2,2
Luisa,3,3,5,5,2,2,1
Carolina,2,2,5,2,1,1,1
Katalina,3,3,5,4,3,3,3
Sebastian,4,4,4,4,4,4,4
Tomas,3,3,5,5,2,2,2
Samuel,2,1,3,3,2,2,3
Sandra,5,4,5,5,3,3,2
